level2,code2,level3,code3,level4,code4,URL,ID,Name,Description,CRUD
Resources,RSC,Cloud Infra,RSC10,VMWare,10,resources/ci/vm/instance,RSC1010FU04,Instance Name #?,클라우드 인프라 Instance 상세조회,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/vm/vmware,RSC1010FU05,VM Ware #1,클라우드 인프라 VM Ware 상세조회,R
Resources,RSC,Software,RSC20,,1,resources/sw/overview,RSC2001MU01,Software Overview,"라이선스 만료예정 , 만료 소프트웨어 현황 및 전체 소프트웨어 보유 및 사용현황",R
Resources,RSC,Software,RSC20,,,resources/sw/searchDetail,RSC2001PQ02,Software 검색,검색필터링,
Resources,RSC,Software,RSC20,,,resources/sw/add,RSC2001FU04,Software 등록,"소프트웨어 종류별 (OS, DB, Web, WAS, Monitoring, etc) 자동 또는 수동으로 등록",C
Resources,RSC,Software,RSC20,,,resources/sw/attributeDetail,RSC2001PQ05,Attribute Set View,"소프트웨어(DB, Web, WAS, Monitoring, etc) 자동설치 Cookbook 속성 팝업",R
Resources,RSC,Software,RSC20,,,resources/sw/info/dc/*datacenter-id*/swId/*id*,RSC2001FU06,Software 상세,"소프트웨어 상세조회, 삭제 가능 및 수정페이지이동",RUD
Resources,RSC,Software,RSC20,,,resources/sw/edit/dc/*datacenter-id*/swId/*id*,RSC2001FU07,Software 수정,소프트웨어 수정,U
Resources,RSC,Service,RSC30,,1,resources/sv/overview,RSC3001MU01,Service Overview,Overview 화면설계서 확인필요(정보성&안내문구),R
Resources,RSC,Service,RSC30,,,resources/sv/searchDetail,RSC3001PQ02,Service 검색,검색필터링,
Resources,RSC,Service,RSC30,,,resources/sv/add,RSC3001FU04,Service 등록,Resource 자원 Service 단위 그룹으로 등록,C
Resources,RSC,Service,RSC30,,,resources/sv/searchNode,RSC3001PQ05,Node Search,Resource 에 등록된 모든 자원 조회팝업,R
Resources,RSC,Service,RSC30,,,resources/sv/info/dc/*datacenter-id*/svId/*id*,RSC3001FU06,Service 상세,상세조회 삭제 가능 및 수정페이지 이동,RUD
Resources,RSC,Service,RSC30,,,resources/sv/edit/dc/*datacenter-id*/svId/*id*,RSC3001FU07,Service 수정,서비스 수정가능,U
Resources,RSC,Service,RSC30,,,resources/sv/nodeList,RSC3001PU08,Node List,선택된 노드 조회 팝업,RD
Alarm,ALM,History,ALM01,,1,alarm/dc,ALM0101FU01,Alarm 상세(Severity명),"장애관련 목록조회, 알람활성, 장애여부 확인 가능",R
Alarm,ALM,History,ALM01,,,alarm/searchDetail,ALM0101PQ02,Alarm 검색 필터링,검색 필터링,
Alarm,ALM,Definition,ALM10,,,alarm/link,ALM0101PQ03,,화면없음 (메뉴만 존재 link),
T-ROS System Status,TSS,Status,TSS01,,1,trosStatus/,TSS0101MQ01,T-ROS System Status,T-ROS 시스템 및 컴포넌트 조회,R
Settings,STT,User Management,STT01,,1,settings/user,STT0101MU01,User Management,"사용자 정보 목록조회,상세조회(접근권한,메뉴권한, 가상자원권환), 등록, 수정, 삭제 가능",CRUD
Settings,STT,User Management,STT01,,,settings/user/searchDetail,STT0101PQ02,User Management 검색,검색 필터링,
Settings,STT,User Management,STT01,,,settings/user/add,STT0101PU03,사용자 등록,사용자 등록 팝업으로 등록가능,C
Settings,STT,User Management,STT01,,,settings/user/edit/userId/*id*,STT0101PU04,사용자 정보 수정,사용자 수정 팝업으로 수정가능,U
Settings,STT,Infra Registration,STT10,DataCenter,1,settings/infra/dc,STT1001MU01,DataCenter,"등록되어 있는 전체 DataCenter 조회, 삭제 가능",CRUD
Settings,STT,Infra Registration,STT10,,,settings/infra/dc/floorPlan,STT1001PQ02,전체 상면도,상면도 팝업,R
Settings,STT,Infra Registration,STT10,,,settings/infra/dc/floorImg,STT1001PQ03,층 이미지,층이미지 레이어 팝업,R
Settings,STT,Infra Registration,STT10,,,settings/infra/dc/add,STT1001TU04,데이터 센터 등록,DataCenter 등록가능,C
Settings,STT,Infra Registration,STT10,,,settings/infra/dc/floorPlan/unit,STT1001PU05,룸정보(Room#?) Unit 설정,Unit 설정 레이어 팝업,C
Settings,STT,Infra Registration,STT10,,,settings/infra/dc/edit/*25*,STT1001TU06,데이터 센터 수정,DataCenter 수정가능,U
Settings,STT,Infra Registration,STT10,Cloud Infra,10,settings/infra/ci,STT1010TU07,Cloud Infra,"등록되어 있는 전체 CloudInfra 조회, 삭제 가능",CRUD
Settings,STT,Infra Registration,STT10,,,settings/infra/ci/add,STT1010TU08,Cloud Infra 등록,CloudInfra 등록가능,C
Settings,STT,Infra Registration,STT10,,,settings/infra/ci/edit/*cloudInfra-id*,STT1010TU09,Cloud Infra 수정,CloudInfra 수정가능,U
Settings,STT,Deployment Zone,STT20,,1,settings/deployZone,STT2001MU01,Deployment Zone,"Deployment Zone 목록조회, 수정, 삭제 가능",CRUD
Settings,STT,Deployment Zone,STT20,,,settings/deployZone/add,STT2001PQ03,Deployment Zone 등록,Deployment Zone 등록,C
Settings,STT,Deployment Zone,STT20,,,settings/deployZone/edit/dc/*31*/,STT2001PQ04,Deployment Zone 수정,Deployment Zone 수정,RU
Support,SPT,Tutorial,SPT10,,1,support/tutorial,SPT1001MQ01,Tutorial,화면설계서 내용 없음,
User,USR,Profile,USR01,,1,user/profile,USR0101MU01,Profile,"개인정보 수정 및 물리자원, 가상자원 default 설정",RU
